2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TAOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TAOUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for AIAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SKLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SKLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for IDOLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for IDOLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BIDUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for BIDUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XPLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XPLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SUIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SUIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for OPENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for OPENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MONUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for CTSIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for CTSIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KERNELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KERNELUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TOKENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for TOKENUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PENGUUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PENGUUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SUSHIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SUSHIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XLMUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for XLMUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MOODENGUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MOODENGUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RESOLVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RESOLVUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ETHFIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ETHFIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for STBLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for STBLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MERLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for MERLUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SANTOSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SANTOSUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SKYAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for SKYAIUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KDAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for KDAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RVNUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for RVNUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ARCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ARCUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for LAUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ICNTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for ICNTUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for DUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PLAYUSDT, starting LSFP analysis...
2025-10-25 23:15:00 - __main__ - INFO - 15m candle closed for PLAYUSDT, starting LSFP analysis...
